GPU
Iterations Accuracy% time
1000       72%       2.472s
2000       87%       4.765s
3000       92%       7.083s
4000       93%       9.337s
5000       92%       11.569s
6000       93%       14.686s
7000       95%       16.887s
8000       94%       19.217s
9000       97%       22.395s
10000      98%       24.050s

CPU
Iterations Accuracy% time
1000       67%       4.723s
2000       73%       8.719s
3000       82%       13.069s
4000       85%       17.461s
5000       90%       21.435s
6000       96%       25.854s
7000       94%       30.229s
8000       96%       34.389s
9000       96%       38.575s
10000      97%       43.357s
